step,loss,lr
45800,2.364321,0.00023845
46000,2.356121,0.00023793
46200,2.354217,0.00023742
46400,2.347175,0.00023691
46600,2.350806,0.00023640
46800,2.356045,0.00023589
47000,2.352654,0.00023539
47200,2.352145,0.00023489
47400,2.344996,0.00023439
47600,2.336640,0.00023390
47800,2.350816,0.00023341
48000,2.350105,0.00023292
48200,2.340764,0.00023244
48400,2.344446,0.00023196
48600,2.350265,0.00023148
48800,2.350044,0.00023101
49000,2.348085,0.00023053
49200,2.349424,0.00023007
49400,2.341472,0.00022960
49600,2.344502,0.00022914
49800,2.352409,0.00022868
50000,2.347877,0.00022822
50200,2.347300,0.00022776
50400,2.344190,0.00022731
50600,2.346302,0.00022686
50800,2.344840,0.00022641
51000,2.340892,0.00022597
51200,2.337628,0.00022553
51400,2.347410,0.00022509
51600,2.297634,0.00022465
51800,2.320432,0.00022422
52000,2.319195,0.00022379
52200,2.311185,0.00022336
52400,2.318494,0.00022293
52600,2.319579,0.00022251
52800,2.313557,0.00022208
53000,2.322692,0.00022166
53200,2.316219,0.00022125
53400,2.322575,0.00022083
53600,2.315963,0.00022042
53800,2.321471,0.00022001
54000,2.315770,0.00021960
54200,2.322356,0.00021920
54400,2.318903,0.00021879
54600,2.316176,0.00021839
54800,2.304313,0.00021799
55000,2.318953,0.00021760
55200,2.309923,0.00021720
55400,2.312681,0.00021681
55600,2.319894,0.00021642
55800,2.309173,0.00021603
56000,2.308786,0.00021565
56200,2.324926,0.00021526
56400,2.328374,0.00021488
56600,2.328395,0.00021450
56800,2.322373,0.00021412
57000,2.316736,0.00021375
57200,2.311999,0.00021337
57400,2.303873,0.00021300
57600,2.314301,0.00021263
57800,2.310789,0.00021226
58000,2.307059,0.00021189
58200,2.307254,0.00021153
58400,2.314008,0.00021117
58600,2.309790,0.00021081
58800,2.305118,0.00021045
59000,2.311916,0.00021009
59200,2.306012,0.00020974
59400,2.313317,0.00020938
59600,2.309960,0.00020903
59800,2.315407,0.00020868
60000,2.311318,0.00020833
60200,2.311312,0.00020799
60400,2.303266,0.00020764
60600,2.304275,0.00020730
60800,2.303483,0.00020696
61000,2.303352,0.00020662
61200,2.307798,0.00020628
61400,2.299630,0.00020594
61600,2.313285,0.00020561
61800,2.305745,0.00020528
62000,2.278166,0.00020495
62200,2.275542,0.00020462
62400,2.290842,0.00020429
62600,2.283935,0.00020396
62800,2.285295,0.00020364
63000,2.273091,0.00020331
63200,2.277578,0.00020299
63400,2.278604,0.00020267
63600,2.281532,0.00020235
63800,2.284678,0.00020203
64000,2.286002,0.00020172
64200,2.289900,0.00020140
64400,2.286045,0.00020109
64600,2.286409,0.00020078
64800,2.282901,0.00020047
65000,2.288870,0.00020016
65200,2.284693,0.00019985
65400,2.278472,0.00019955
65600,2.287559,0.00019924
65800,2.291821,0.00019894
66000,2.281959,0.00019864
66200,2.300743,0.00019834
66400,2.289662,0.00019804
66600,2.284178,0.00019774
66800,2.286611,0.00019745
67000,2.289971,0.00019715
67200,2.275160,0.00019686
67400,2.278613,0.00019656
67600,2.275611,0.00019627
67800,2.277367,0.00019598
68000,2.284036,0.00019570
68200,2.276092,0.00019541
68400,2.283084,0.00019512
68600,2.282620,0.00019484
68800,2.287560,0.00019455
69000,2.284643,0.00019427
69200,2.286995,0.00019399
69400,2.277068,0.00019371
69600,2.288983,0.00019343
69800,2.275148,0.00019316
70000,2.277629,0.00019288
70200,2.280987,0.00019260
70400,2.282422,0.00019233
70600,2.296092,0.00019206
70800,2.276251,0.00019179
71000,2.279661,0.00019152
71200,2.283740,0.00019125
71400,2.280013,0.00019098
71600,2.278448,0.00019071
71800,2.282485,0.00019045
72000,2.276535,0.00019018
72200,2.245132,0.00018992
72400,2.250139,0.00018966
72600,2.263028,0.00018939
72800,2.255460,0.00018913
73000,2.254460,0.00018887
73200,2.254614,0.00018862
73400,2.258416,0.00018836
73600,2.258605,0.00018810
73800,2.259250,0.00018785
74000,2.262895,0.00018759
74200,2.249989,0.00018734
74400,2.262098,0.00018709
74600,2.260836,0.00018684
74800,2.259464,0.00018659
75000,2.252992,0.00018634
75200,2.260881,0.00018609
75400,2.258139,0.00018584
75600,2.254188,0.00018560
75800,2.274344,0.00018535
76000,2.257977,0.00018511
76200,2.256774,0.00018487
76400,2.253561,0.00018462
76600,2.257870,0.00018438
76800,2.262006,0.00018414
77000,2.254500,0.00018390
77200,2.261156,0.00018366
77400,2.262539,0.00018343
77600,2.259379,0.00018319
77800,2.271375,0.00018296
78000,2.260013,0.00018272
78200,2.263022,0.00018249
78400,2.266130,0.00018225
78600,2.253255,0.00018202
78800,2.260679,0.00018179
79000,2.253609,0.00018156
79200,2.257451,0.00018133
